               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12508,            0.024506,                   0,                   0,                   0,                   0,                   0,             0.12435,            0.020602,                   0,               8e-05,               8e-05,             0.09928
                   1,             0.11522,            0.024054,                   0,                   0,                   0,                   0,                   0,             0.11976,            0.020618,                   0,             0.00017,             0.00017,             0.09847
                   2,              0.1172,            0.023679,                   0,                   0,                   0,                   0,                   0,             0.11527,             0.02088,                   0,          0.00025998,          0.00025998,             0.09766
                   3,             0.11238,            0.024037,                   0,          0.00057137,             0.16667,          0.00034038,          3.4038e-05,             0.11059,            0.021254,                   0,          0.00034993,          0.00034993,             0.09685
                   4,             0.10986,            0.022658,                   0,          0.00056903,             0.16667,          0.00033657,          6.7313e-05,             0.10459,             0.02191,                   0,          0.00043985,          0.00043985,             0.09604
                   5,             0.10599,            0.023073,                   0,          0.00055556,             0.16667,          0.00033162,          3.3162e-05,            0.099618,            0.022352,                   0,          0.00052971,          0.00052971,             0.09523
                   6,             0.10367,            0.022907,                   0,          0.00064677,             0.16667,          0.00037959,          3.7959e-05,            0.095136,            0.022904,                   0,          0.00061951,          0.00061951,             0.09442
                   7,            0.097834,            0.023848,                   0,           0.0011117,             0.33333,          0.00075872,          0.00014256,            0.089838,            0.023342,                   0,          0.00070924,          0.00070924,            0.093609
                   8,            0.094622,            0.021816,                   0,           0.0066988,             0.16667,           0.0023919,          0.00023919,              0.0863,            0.023492,                   0,          0.00079888,          0.00079888,            0.092799
                   9,            0.089379,            0.025521,                   0,           0.0038266,             0.16667,           0.0033923,          0.00057753,            0.085906,             0.02286,                   0,          0.00088842,          0.00088842,            0.091988
                  10,            0.082861,             0.02476,                   0,            0.037405,             0.33333,            0.022279,           0.0038691,            0.077628,            0.023363,                   0,          0.00097785,          0.00097785,            0.091178
                  11,            0.078054,            0.026006,                   0,             0.19135,             0.66667,             0.27606,            0.063713,            0.071986,            0.023153,                   0,           0.0010672,           0.0010672,            0.090367
                  12,            0.075581,            0.025752,                   0,             0.27796,                 0.5,             0.35249,            0.096703,            0.071483,            0.021964,                   0,           0.0011563,           0.0011563,            0.089556
